"","ML4_emp","ML1_emp","ML5_emp","ML6_emp","ML3_emp","ML2_emp","ML2_item_distilroberta","ML6_item_distilroberta","ML4_item_distilroberta","ML3_item_distilroberta","ML5_item_distilroberta","ML1_item_distilroberta","ML2_item_miniLM","ML6_item_miniLM","ML4_item_miniLM","ML3_item_miniLM","ML5_item_miniLM","ML1_item_miniLM","ML2_item_mpnet","ML4_item_mpnet","ML3_item_mpnet","ML5_item_mpnet","ML6_item_mpnet","ML1_item_mpnet","ML2_item_t5","ML6_item_t5","ML4_item_t5","ML1_item_t5","ML5_item_t5","ML3_item_t5","ML2_item_psych","ML6_item_psych","ML4_item_psych","ML3_item_psych","ML5_item_psych","ML1_item_psych","ML2_item_use_dan","ML4_item_use_dan","ML3_item_use_dan","ML1_item_use_dan","ML6_item_use_dan","ML5_item_use_dan","ML2_item_avg_trans","ML4_item_avg_trans","ML6_item_avg_trans","ML3_item_avg_trans","ML5_item_avg_trans","ML1_item_avg_trans"
"Fear",-0.023,0.956,-0.201,0.034,-0.159,0.178,-0.674,-0.238,-0.108,-0.167,0.103,0.327,-0.434,-0.186,0.133,-0.21,0.258,0.001,-0.528,0.188,-0.104,-0.001,-0.131,0.188,-0.658,-0.23,0.161,-0.017,-0.034,0.001,-0.639,-0.355,-0.024,-0.116,-0.009,0.18,-0.608,-0.002,-0.275,0.024,-0.051,0.12,-0.582,-0.054,-0.225,-0.199,0.137,-0.026
"Depe",-0.088,0.422,0.101,0.19,-0.011,0.208,0.038,0.108,0.19,0.07,0.197,-0.06,0.252,0.168,-0.046,0.224,-0.421,0.008,0.007,-0.136,-0.083,0.222,-0.275,-0.088,0.209,0.109,-0.026,0.359,0.258,-0.057,0.238,0.005,0.042,-0.13,0.208,0.001,0.204,0.272,-0.181,0.502,-0.162,0.108,0.064,0.007,0.028,0.157,0.044,0.497
"Expr",-0.056,0.834,0.043,0.094,-0.29,-0.088,0.376,0.415,-0.022,0.161,0.115,0.058,0.267,0.435,-0.326,0.185,0.033,0.059,0.488,-0.16,0.101,0.321,0.182,-0.185,0.395,0.289,-0.229,0.104,0.217,0.003,0.515,0.337,-0.104,0.178,0.148,-0.123,0.302,-0.185,0.382,0.189,0.091,-0.117,0.436,-0.161,0.345,0.174,0.144,0.124
"Gent",-0.191,0.706,0.079,0.061,0.019,0.144,-0.125,-0.13,0.228,-0.591,-0.029,0.248,-0.134,0.044,-0.111,0.234,0.194,0.156,-0.071,-0.049,0.068,-0.15,-0.539,0.291,-0.203,0.183,0.245,0.329,-0.407,-0.16,0.142,-0.314,0.209,-0.208,-0.347,0.067,-0.061,-0.052,-0.012,-0.022,0.213,0.147,-0.107,0.095,-0.104,-0.234,-0.254,0.211
"Prud",0.154,0.076,0.159,-0.007,0.321,0.32,0.093,0.236,0.357,0.385,0.136,0.044,0.796,-0.354,-0.156,-0.096,0.413,-0.265,0.047,0.156,0.452,0.121,0.418,-0.173,0.256,0.414,0.284,-0.346,0.236,0.432,-0.066,0.433,0.099,0.456,0.138,-0.24,0.268,-0.069,0.373,0.102,-0.182,0.292,0.103,0.166,0.434,0.273,0.258,-0.17
"Crea",0.13,-0.038,0.281,0.104,0.239,0.307,0.431,0.075,-0.533,-0.015,-0.058,-0.051,0.626,0.062,-0.08,0.039,-0.332,0.248,0.546,-0.34,-0.299,0.078,0.343,0.236,0.357,0,-0.696,-0.238,0.028,-0.19,0.581,-0.129,-0.567,-0.003,0.013,0.069,0.38,-0.585,-0.051,-0.256,0.065,0.102,0.524,-0.534,0.002,-0.061,0,-0.198
"Sent",-0.134,0.174,0.483,-0.471,-0.135,0.597,0.916,-0.046,0.006,-0.036,-0.098,-0.134,0.32,0.366,-0.34,0.104,-0.103,0.011,0.68,-0.138,0.007,-0.022,0.025,-0.085,0.679,0.126,-0.149,0.12,-0.061,-0.092,0.713,0.232,-0.008,-0.204,-0.04,0.163,0.706,-0.225,-0.005,-0.161,-0.042,-0.286,0.817,-0.051,0.033,-0.048,-0.05,0.042
"Gree",-0.124,0.132,-0.051,0.477,0.359,0.225,0.782,-0.158,0,-0.006,-0.007,-0.221,0.281,0.432,-0.197,0.075,-0.223,0.016,0.631,-0.023,0.137,-0.087,-0.008,-0.033,0.841,-0.063,-0.1,0.152,-0.051,0.009,0.847,-0.047,0.011,0.063,-0.085,0.222,0.538,0.146,-0.101,-0.023,0.186,-0.31,0.84,0.093,-0.148,0.118,-0.136,-0.015
"Live",0.271,-0.158,0.101,0.335,0.347,0.31,-0.067,0.086,-0.131,0.612,0.331,-0.447,-0.302,0.105,0.658,0.603,-0.078,0.071,-0.102,-0.097,0.334,0.011,0.359,0.113,-0.063,0.154,-0.208,0.157,0.228,0.9,0.043,0.179,-0.231,0.695,0.057,0.116,0.109,0.458,0.555,-0.11,0.534,0.193,-0.307,-0.04,-0.116,0.919,0.038,-0.133
"Flex",0.146,-0.142,0.21,0.361,0.359,0.306,0.128,-0.157,0.378,0.634,0.121,0.032,-0.035,-0.427,0.314,-0.262,0.119,-0.099,-0.282,0.299,0.468,0.127,0.287,-0.025,0.1,-0.109,0.321,-0.419,0.143,0.453,0.052,-0.079,0.318,0.768,0.028,-0.146,-0.082,0.363,0.527,-0.312,0.17,0.28,0.015,0.487,-0.003,0.401,0.155,-0.478
