"","H_emp","E_emp","X_emp","A_emp","C_emp","O_emp","ML4_sent_distilroberta","ML6_sent_distilroberta","ML1_sent_distilroberta","ML3_sent_distilroberta","ML5_sent_distilroberta","ML2_sent_distilroberta","ML5_sent_miniLM","ML6_sent_miniLM","ML3_sent_miniLM","ML1_sent_miniLM","ML4_sent_miniLM","ML2_sent_miniLM","ML5_sent_mpnet","ML3_sent_mpnet","ML4_sent_mpnet","ML1_sent_mpnet","ML6_sent_mpnet","ML2_sent_mpnet","ML4_sent_t5","ML6_sent_t5","ML5_sent_t5","ML1_sent_t5","ML3_sent_t5","ML2_sent_t5","ML4_sent_psych","ML1_sent_psych","ML3_sent_psych","ML6_sent_psych","ML2_sent_psych","ML5_sent_psych","ML4_sent_use_dan","ML5_sent_use_dan","ML1_sent_use_dan","ML6_sent_use_dan","ML2_sent_use_dan","ML3_sent_use_dan","ML4_sent_avg_trans","ML3_sent_avg_trans","ML5_sent_avg_trans","ML1_sent_avg_trans","ML6_sent_avg_trans","ML2_sent_avg_trans"
"Sinc",1,0,0,0,0,0,0.119,-0.072,0.655,0.361,-0.006,-0.006,0.211,-0.017,-0.069,0.623,0.258,-0.003,0.174,0.322,0.239,0.524,-0.091,-0.222,0.172,-0.047,0.065,0.66,0.16,0.012,-0.096,0.963,-0.049,-0.35,0.369,0.243,0.079,0.175,0.822,-0.143,-0.019,-0.031,0.163,0.099,0.071,0.754,-0.138,-0.075
"Fair",1,0,0,0,0,0,0.046,0.029,0.485,-0.287,0.546,0.175,0.244,-0.119,-0.069,0.544,0.036,0.371,0.291,-0.331,0.161,0.628,0.006,0.111,0.138,0.14,0.383,0.368,-0.053,-0.053,0.018,0.636,-0.106,-0.161,0.382,0.221,0.25,0.308,0.346,-0.23,-0.113,0.253,0.075,-0.384,0.271,0.667,0.07,0.191
"Gree",1,0,0,0,0,0,-0.327,0.215,0.81,0.171,0.224,-0.389,-0.04,0.44,0.377,0.207,-0.055,0.066,0.157,0.258,-0.137,0.269,0.471,-0.049,-0.241,0.111,0.244,0.682,0.076,0.162,-0.149,0.627,0.245,-0.176,0.087,0.198,-0.317,0.266,0.551,0.308,-0.032,0.531,-0.18,0.15,0.168,0.578,0.259,-0.163
"Mode",1,0,0,0,0,0,-0.01,-0.011,0.731,0.323,0.055,-0.203,-0.109,0.181,0.033,0.458,0.418,0.022,-0.042,0.117,0.1,0.532,0.378,-0.08,-0.238,0.105,0.118,0.562,0.429,0.113,-0.095,0.63,0.27,-0.199,0.143,0.199,0.09,0.041,0.427,0.393,-0.194,0.321,0.026,0.165,0.02,0.684,0.079,-0.139
"Fear",0,1,0,0,0,0,-0.051,0.353,0.109,0.084,-0.02,0.405,0.088,0.108,0.299,0.328,-0.219,0.391,0.226,0.115,-0.022,0.096,0.192,0.327,-0.066,0.344,0.125,0.217,0.282,0.135,0.003,0.259,0.089,0.498,0.348,-0.043,0.222,-0.072,-0.075,0.271,0.138,0.165,-0.136,0.129,0.052,0.117,0.295,0.478
"Anxi",0,1,0,0,0,0,0.229,0.164,-0.273,0.278,0.399,0.41,0.291,0.256,-0.222,-0.131,0.362,0.453,0.147,0.098,0.291,-0.292,0.1,0.731,0.193,0.327,0.334,-0.193,0.192,0.2,0.503,0.139,-0.072,0.343,0.531,-0.161,0.205,0.292,-0.4,0.331,0.441,0.019,0.311,0.129,0.247,-0.355,0.153,0.544
"Depe",0,1,0,0,0,0,0.583,-0.071,0.305,0.125,-0.078,0.15,0.036,0.124,0.35,0.261,0.295,-0.059,-0.313,0.067,0.329,0.084,0.271,0.437,0.313,-0.265,-0.112,0.413,0.464,0.342,-0.017,0.294,-0.048,0.219,0.59,-0.167,0.217,0.012,0.318,0.018,0.263,0.198,0.318,0.125,-0.209,0.245,0.151,0.24
"Sent",0,1,0,0,0,0,0.556,0.401,-0.26,0.135,-0.019,0.28,-0.149,0.255,0.013,-0.003,0.33,0.565,-0.242,0.132,0.517,-0.062,0.2,0.619,0.435,0.239,-0.189,-0.121,0.362,0.462,0.112,-0.035,0.052,0.378,0.738,-0.1,0.256,-0.113,-0.217,0.062,0.785,0.324,0.458,0.004,-0.251,-0.117,0.475,0.464
"Expr",0,0,1,0,0,0,0.158,0.199,0.041,0.603,-0.089,0.196,-0.004,-0.064,0.601,0.058,0.284,0.129,-0.046,0.65,0.046,0.166,0.18,0.022,0.087,0.067,-0.125,0.086,0.732,0.371,0.018,0.261,0.948,0.13,-0.226,-0.257,0.198,0.015,0.189,0.255,0.169,0.182,-0.019,0.951,-0.125,0.03,0.005,0.033
"SocB",0,0,1,0,0,0,0.14,0.251,0.178,0.596,-0.21,0.218,0.04,0.131,0.498,0.199,0.094,0.045,-0.017,0.618,0.059,0.216,0.127,-0.067,-0.063,0.114,-0.099,0.363,0.612,0.218,-0.024,0.289,0.794,0.255,-0.211,-0.133,0.307,-0.079,0.157,0.465,0.051,0.2,-0.111,0.859,-0.095,0.169,0.033,0.025
"Soci",0,0,1,0,0,0,0.238,0.229,0.191,0.377,-0.081,0.124,-0.015,0.06,0.374,0.22,0.179,0.189,-0.056,0.275,0.257,0.207,0.245,0.144,0.243,0.179,-0.125,0.232,0.319,0.29,0.246,-0.082,0.692,0.085,-0.211,-0.163,0.018,0.016,0.41,0.248,0.127,0.412,0.179,0.6,-0.094,0.055,0.1,0.036
"Live",0,0,1,0,0,0,-0.08,-0.051,0.22,0.523,0.117,0.055,0.097,-0.08,0.874,-0.208,0.233,0.073,0.09,0.561,0.101,-0.216,0.046,0.265,-0.083,-0.107,0.255,0.04,0.687,0.42,0.45,-0.069,0.492,0.3,0.068,-0.236,0.002,0.037,0.181,0.243,0.308,0.23,0.107,0.577,0.109,-0.201,0.034,0.239
"Forg",0,0,0,1,0,0,0.845,-0.003,0.12,-0.207,0.132,0.3,-0.198,-0.065,0.262,0.378,0.509,0.129,0.014,-0.201,0.686,0.409,-0.154,0.3,0.719,-0.075,0.15,0.155,-0.091,0.137,0.678,0.014,0.155,-0.255,0.247,0.162,0.966,-0.128,0.195,-0.408,-0.09,0.372,0.779,-0.203,-0.057,0.303,-0.093,0.227
"Gent",0,0,0,1,0,0,0.695,-0.089,0.06,0.215,0.024,0.327,0.07,0.143,0.017,0.335,0.354,0.094,0.12,0.301,0.689,0.169,-0.308,0.054,0.861,0.014,0.035,-0.027,0.001,0.185,0.951,-0.065,0.206,-0.354,0.092,0.262,0.634,0.019,0.089,-0.004,0.182,0.069,0.844,0.073,0.02,0.133,-0.247,0.147
