Trait,Facet,EO,EC,EE,EA,EN,AO,AC,AE,AA,AN,RU,RC,RE,RU,RN,OU,OC,OE,OA,ON
op,Ima,0.68,-0.18,0.07,-0.06,0.15,0.574,0.122,0.186,0.2,0.222,0.337,0.136,0.558,0.095,0.443,0.599,0.232,0.291,-0.238,0.052
op,Art,0.63,0.11,0.2,0.3,0.11,0.596,-0.268,0.33,0.127,0.051,0.499,0.268,0.442,0.219,-0.04,0.817,-0.238,0.322,0.131,-0.107
op,Emo,0.48,0.18,0.21,0.24,0.56,0.335,-0.113,-0.077,0.141,0.685,0.711,0.406,-0.037,0.045,0.479,0.256,-0.002,0.393,0.088,0.325
op,Adv,0.53,0.05,0.4,-0.04,-0.31,0.337,0.153,0.332,-0.037,0.14,0.688,-0.193,0.362,0.336,-0.145,0.593,0.173,0.371,-0.173,-0.004
op,Int,0.79,0.21,-0.1,-0.07,-0.23,0.282,0.23,0.253,-0.073,0.197,0.557,0.18,0.393,0.103,0.007,0.553,0.042,0.423,-0.069,0.019
op,Lib,0.55,-0.31,-0.08,0.02,-0.02,0.392,0.139,-0.292,0.719,-0.095,0.317,-0.404,0.072,0.255,-0.241,0.357,-0.052,-0.165,0.442,0.18
co,Sel,0.23,0.68,0.16,0.07,-0.47,-0.018,0.726,-0.093,0.123,0.243,-0.045,0.644,0.234,-0.141,-0.319,-0.139,0.744,0.252,0.064,0.051
co,Ord,-0.29,0.66,-0.13,0.18,0.08,0.004,0.428,0.203,0.044,0.236,0.233,0.379,0.106,-0.109,-0.137,0.166,0.325,0.108,0.09,0.253
co,Dut,-0.06,0.57,-0.08,0.59,-0.17,0.121,0.566,0.039,0.383,-0.149,0.072,0.767,-0.291,0.445,-0.076,-0.013,0.745,-0.167,0.485,-0.204
co,Ach,-0.11,0.82,0.14,0.07,-0.14,0.024,0.796,-0.033,0.127,0.038,-0.074,0.488,0.26,-0.362,0.058,-0.064,0.776,0.223,0.079,-0.038
co,Sel,-0.12,0.78,0.07,0.13,-0.25,-0.159,0.86,0.191,-0.126,0.119,0.091,0.375,0.109,0.058,-0.388,-0.111,0.84,0.273,-0.225,0.116
co,Con,-0.07,0.49,-0.45,0.38,-0.32,0.32,0.458,0.275,-0.024,-0.04,0.161,0.359,-0.719,0.374,-0.243,0.308,0.507,0.211,-0.114,0.073
